Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,Rainfall_mm
66694,1.304375206,Khagrachari,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,86994,40,12.0,60,85,192.9039163
237461,1.120950388,Khulna,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,266182,40,12.0,60,85,144.644338
186328,1.158322957,Kishoreganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,215828,40,12.0,60,85,115.3167999
283509,1.102067307,Kurigram,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,312446,40,12.0,60,85,160.2682722
225972,1.200374383,Kushtia,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,271251,40,12.0,60,85,191.4964391
185213,1.053263,Lakshmipur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,195078,40,12.0,60,85,87.61801798
189950,1.141163464,Lalmonirhat,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,216764,40,12.0,60,85,247.9778441
40746,0.830314632,Madaripur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,33832,40,12.0,60,85,167.8536708
143430,1.062643798,Magura,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,152415,40,12.0,60,85,147.9372295
19457,0.9198232,Manikganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,17897,40,12.0,60,85,247.8741452
82524,1.279203626,Meherpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,105565,40,12.0,60,85,158.0844435
251081,1.180622986,Moulvibazar,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,296432,40,12.0,60,85,131.2986527
41822,0.393405385,Munshiganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,16453,40,12.0,60,85,213.7781936
663734,0.97115712,Mymensingh,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,644590,40,12.0,60,85,132.2614826
468054,1.082366565,Naogaon,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,506606,40,12.0,60,85,207.701171
85229,1.068098887,Narail,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,91033,40,12.0,60,85,105.4792211
19756,0.54823851,Narayanganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,10831,40,12.0,60,85,180.2420727
97752,1.039313774,Narsingdi,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,101595,40,12.0,60,85,233.3534886
182696,1.119438849,Natore,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,204517,40,12.0,60,85,10.8768244
301949,1.091058424,Netrokona,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,329444,40,12.0,60,85,221.8907255
279580,1.103355033,Nilphamari,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,308476,40,12.0,60,85,124.7043108
382971,1.033623956,Noakhali,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,395848,40,12.0,60,85,112.6938135
221929,0.866871837,Pabna,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,192384,40,12.0,60,85,68.03890595
246162,1.246549021,Panchagar,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,306853,40,12.0,60,85,285.6261677
431833,0.749345233,Patuakhali,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,323592,40,12.0,60,85,208.0883744
155038,0.64492576,Pirojpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,99988,40,12.0,60,85,181.7067451
117377,0.913696891,Rajbari,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,107247,40,12.0,60,85,190.0928261
182555,1.273851716,Rajshahi,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,232548,40,12.0,60,85,134.7885332
23990,1.199041267,Rangamati,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,28765,40,12.0,60,85,96.36279371
405055,1.092310921,Rangpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,442446,40,12.0,60,85,193.2944592
207744,1.108450786,Satkhira,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,230274,40,12.0,60,85,167.0497907
32898,0.701501611,Shariatpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,23078,40,12.0,60,85,102.2760023
202388,0.952768939,Sherpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,192829,40,12.0,60,85,125.2118412
200166,1.104498266,Sirajganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,221083,40,12.0,60,85,242.4510859
198587,1.044851879,Sunamganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,207494,40,12.0,60,85,161.3844192
336140,1.05969834,Sylhet,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,356207,40,12.0,60,85,212.305127
249183,0.833411589,Tangail,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,207672,40,12.0,60,85,132.7371589
322836,1.083695746,Thakurgaon,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,349856,40,12.0,60,85,62.8298842
167,6.700598802,Bagerhat,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,1119,30,20.0,60,80,179.5392138
128,1.3046875,Bandarban,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,167,30,20.0,60,80,168.3859684
1597,0.919849718,Barguna,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,1469,30,20.0,60,80,61.05620835
1351,4.071058475,Barishal,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,5500,30,20.0,60,80,157.5994264
148,5.155405405,Bhola,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,763,30,20.0,60,80,130.8171556
233,3.39055794,Bogura,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,790,30,20.0,60,80,273.4874624
15,0.866666667,Brahmanbaria,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,13,30,20.0,60,80,114.7169243
50,5.26,Chandpur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,263,30,20.0,60,80,106.4954475
71,2.183098592,Chapai Nawabganj,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,155,30,20.0,60,80,195.0507473
95,4.810526316,Chattogram,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,457,30,20.0,60,80,218.7442227
77,4.701298701,Chuadanga,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,362,30,20.0,60,80,168.7618338
142,2.605633803,CoxsBazar,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,370,30,20.0,60,80,99.83746481
330,1.081818182,Cumilla,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,357,30,20.0,60,80,100.6286662
31,7.580645161,Dhaka,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,235,30,20.0,60,80,299.1095819
47,12.10638298,Dinajpur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,569,30,20.0,60,80,124.3791764
479,1.350730689,Faridpur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,647,30,20.0,60,80,162.8406957
28,1.964285714,Feni,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,55,30,20.0,60,80,174.3995672
11,13.54545455,Gaibandha,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,149,30,20.0,60,80,309.1398619
40,5.9,Gazipur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,236,30,20.0,60,80,60.37247805
52,11.36538462,Gopalganj,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,591,30,20.0,60,80,195.9271661
141,3.780141844,Habiganj,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,533,30,20.0,60,80,150.1533507
86,4.069767442,Jamalpur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,350,30,20.0,60,80,146.866635
204,5.980392157,Jashore,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,1220,30,20.0,60,80,202.2447654
742,6.132075472,Jhallokati,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,4550,30,20.0,60,80,295.6533956
97,14.50515464,Jhenaidah,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,1407,30,20.0,60,80,195.2737245
31,9.774193548,Joypurhat,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,303,30,20.0,60,80,157.2598131
129,2.062015504,Khagrachari,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,266,30,20.0,60,80,228.0520766
592,1.491554054,Khulna,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,883,30,20.0,60,80,210.0360595
60,9.45,Kishoreganj,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,567,30,20.0,60,80,118.4367289
24,6.958333333,Kurigram,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,167,30,20.0,60,80,195.6582479
63,9.238095238,Kushtia,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,582,30,20.0,60,80,193.5096052
13,27.69230769,Lakshmipur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,360,30,20.0,60,80,214.6879037
6,1.5,Lalmonirhat,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,9,30,20.0,60,80,124.1596905
33,21.18181818,Madaripur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,699,30,20.0,60,80,138.7211408
96,10.33333333,Magura,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,992,30,20.0,60,80,215.3505544
18,4.111111111,Manikganj,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,74,30,20.0,60,80,80.36122373
101,1.851485149,Meherpur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,187,30,20.0,60,80,127.7246943
86,8.976744186,Moulvibazar,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,772,30,20.0,60,80,72.82427177
15,9.133333333,Munshiganj,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,137,30,20.0,60,80,180.138958
407,1.680589681,Mymensingh,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,684,30,20.0,60,80,87.62538386
62,5.548387097,Naogaon,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,344,30,20.0,60,80,243.2313513
218,6.119266055,Narail,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,1334,30,20.0,60,80,201.5480208
8,17.125,Narayanganj,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,137,30,20.0,60,80,164.1599696
28,7.857142857,Narsingdi,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,220,30,20.0,60,80,135.0048211
270,3.074074074,Natore,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,830,30,20.0,60,80,194.2806048
64,5.109375,Netrokona,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,327,30,20.0,60,80,133.2598863
5,20.8,Nilphamari,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,104,30,20.0,60,80,77.84656892
79,7.417721519,Noakhali,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,586,30,20.0,60,80,156.1109489
81,3.0,Pabna,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,243,30,20.0,60,80,165.3414229
19,6.315789474,Panchagar,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,120,30,20.0,60,80,152.9687657
400,1.2325,Patuakhali,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,493,30,20.0,60,80,180.7341179
394,11.64720812,Pirojpur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,4589,30,20.0,60,80,131.5667984
233,2.30472103,Rajbari,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,537,30,20.0,60,80,186.0438055
183,2.912568306,Rajshahi,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,533,30,20.0,60,80,206.4088959
128,1.7265625,Rangamati,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,221,30,20.0,60,80,177.9112417
12,10.0,Rangpur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,120,30,20.0,60,80,216.1966975
391,2.749360614,Satkhira,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,1075,30,20.0,60,80,333.7250678
84,4.047619048,Shariatpur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,340,30,20.0,60,80,189.2445391
58,5.25862069,Sherpur,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,305,30,20.0,60,80,169.594151
23,12.13043478,Sirajganj,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,279,30,20.0,60,80,111.2686821
41,0.756097561,Sunamganj,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,31,30,20.0,60,80,93.86492368
66,2.121212121,Sylhet,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,140,30,20.0,60,80,165.1078507
518,0.969111969,Tangail,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,502,30,20.0,60,80,129.8339874
16,6.75,Thakurgaon,Kharif 1,25.0,70.0,Amra,Jun,Jun to Aug,Aug to Sep,108,30,20.0,60,80,201.455828
0,,Bagerhat,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,228.0444716
64,0.265625,Bandarban,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,17,30,26.0,20,50,94.8849924
0,,Barguna,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,381.945812
0,,Barishal,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,78.74888342
0,,Bhola,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,216.6723033
6,0.333333333,Bogura,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,2,30,26.0,20,50,125.7972999
0,,Brahmanbaria,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,108.5135492
0,,Chandpur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,143.7893168
50,0.38,Chapai Nawabganj,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,19,30,26.0,20,50,22.09157807
35,0.657142857,Chattogram,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,23,30,26.0,20,50,220.6590023
24,0.25,Chuadanga,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,6,30,26.0,20,50,42.65605925
2,2.0,CoxsBazar,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,4,30,26.0,20,50,119.1954097
2,0.0,Cumilla,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,97.52429534
0,,Dhaka,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,259.9559734
15,0.266666667,Dinajpur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,4,30,26.0,20,50,223.688727
5,0.4,Faridpur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,2,30,26.0,20,50,156.431727
11,0.181818182,Feni,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,2,30,26.0,20,50,96.4469949
49,0.591836735,Gaibandha,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,29,30,26.0,20,50,96.11656049
2,0.0,Gazipur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,226.8351446
0,,Gopalganj,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,206.6527591
0,,Habiganj,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,232.9725026
8,0.25,Jamalpur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,2,30,26.0,20,50,204.3545712
12,0.333333333,Jashore,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,4,30,26.0,20,50,124.8582989
0,,Jhallokati,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,182.2200456
0,,Jhenaidah,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,187.8629284
20,0.4,Joypurhat,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,8,30,26.0,20,50,288.3572962
29,0.310344828,Khagrachari,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,9,30,26.0,20,50,296.0339015
0,,Khulna,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,126.1836955
0,,Kishoreganj,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,200.6637147
61,0.295081967,Kurigram,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,18,30,26.0,20,50,28.29087224
91,0.472527473,Kushtia,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,43,30,26.0,20,50,114.4194732
14,0.142857143,Lakshmipur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,2,30,26.0,20,50,206.6590431
7,0.142857143,Lalmonirhat,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,1,30,26.0,20,50,104.2487359
0,,Madaripur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,83.533633
11,0.272727273,Magura,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,3,30,26.0,20,50,209.3797604
0,,Manikganj,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,213.3301859
16,0.375,Meherpur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,6,30,26.0,20,50,287.975871
26,0.269230769,Moulvibazar,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,7,30,26.0,20,50,153.1636478
12,0.25,Munshiganj,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,3,30,26.0,20,50,117.3094019
0,,Mymensingh,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,51.70766785
132,0.416666667,Naogaon,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,55,30,26.0,20,50,238.8114299
0,,Narail,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,158.9186263
0,,Narayanganj,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,214.5248508
0,,Narsingdi,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,118.6553023
15,0.2,Natore,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,3,30,26.0,20,50,53.11310148
8,0.375,Netrokona,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,3,30,26.0,20,50,46.83379661
0,,Nilphamari,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,172.775343
40,0.25,Noakhali,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,10,30,26.0,20,50,139.7570127
7,0.714285714,Pabna,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,5,30,26.0,20,50,102.6804804
0,,Panchagar,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,136.9755723
0,,Patuakhali,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,199.7021398
0,,Pirojpur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,35.86857993
33,0.272727273,Rajbari,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,9,30,26.0,20,50,157.9882498
6,0.166666667,Rajshahi,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,1,30,26.0,20,50,71.41407106
151,0.529801325,Rangamati,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,80,30,26.0,20,50,252.8673498
83,0.734939759,Rangpur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,61,30,26.0,20,50,155.3241807
0,,Satkhira,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,147.719744
0,,Shariatpur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,128.8882581
8,0.375,Sherpur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,3,30,26.0,20,50,128.3881824
0,,Sirajganj,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,111.079484
0,,Sunamganj,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,238.6376848
0,,Sylhet,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,261.1020445
3,0.0,Tangail,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,205.8614989
40,0.35,Thakurgaon,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,14,30,26.0,20,50,154.1495709
14355,1.118843608,Bagerhat,Kharif 1,26.0,72.5,Aus,Mar,Apr to july,Aug,16061,40,12.0,60,85,147.5459538
30323,0.80681331,Bandarban,Kharif 1,26.0,72.5,Aus,Mar,Apr to july,Aug,24465,40,12.0,60,85,152.2290058
136821,1.023665958,Barguna,Kharif 1,26.0,72.5,Aus,Mar,Apr to july,Aug,140059,40,12.0,60,85,192.2592964
44719,0.756479349,Barishal,Kharif 1,26.0,72.5,Aus,Mar,Apr to july,Aug,33829,40,12.0,60,85,125.2278848
225181,0.784697643,Bhola,Kharif 1,26.0,72.5,Aus,Mar,Apr to july,Aug,176699,40,12.0,60,85,141.1117452
